"Inicio del informe","Fin del informe","Nombre del anuncio","Costo por resultados","Indicador de resultado",Resultados,"Importe gastado (COP)",Alcance,Impresiones,Frecuencia,ThruPlays,"Clics (todos)","CTR (todos)","Visitas al perfil de Instagram","Conversaciones con mensajes iniciadas","Citas programadas",Objetivo,"Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Nombre de la cuenta","Identificador de la campaÃ±a","Identificador de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Nombre del conjunto de anuncios","Nombre de la campaÃ±a"
2025-05-20,2026-05-21,"Ad 6 | Reel | Valor de la tierra",17376,conversions:schedule_website,1,17376,1556,1977,1.270566,204,52,2.630248,3,1,1,"Clientes potenciales","Con el presupuesto de la campaÃ±a",0,Milotecucuta,120241004340160527,1177096264190146,120243790849860527,120243153023150527,"CP | AGENDAMIENTO","CP | AGENDAMIENTO"
2025-05-20,2026-05-21,"Ad 6 | Reel | Valor de la tierra",3121.58333333,actions:onsite_conversion.messaging_conversation_started_7d,12,37459,2816,3529,1.253196,424,90,2.550298,1,12,,"Clientes potenciales",20000,Diario,Milotecucuta,120243294299140527,1177096264190146,120243791155610527,120243294299160527,"CP | WhatsApp | Agenda | SIMILARES %2","CP | WhatsApp | Agendamiento"
2025-05-20,2026-05-21,"Ad 1 | Reel | Ser parte del proyecto",249.86407767,profile_visit_view,206,51472,7184,10380,1.444878,802,414,3.988439,206,,,TrÃ¡fico,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120242047983360527,1177096264190146,120243791723200527,120243555343460527,"RMKTG | IG | Visita al Perfil","TRÃFICO SEGUIDORES IG"
2025-05-20,2026-05-21,"Ad 2 | Reel | Evento Dia de la Madre",386.5,profile_visit_view,10,3865,667,809,1.212894,60,33,4.07911,10,,,TrÃ¡fico,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120242047983360527,1177096264190146,120243791780720527,120243555343460527,"RMKTG | IG | Visita al Perfil","TRÃFICO SEGUIDORES IG"
2025-05-20,2026-05-21,"Ad 7 | Reel | Ultimos Lotes",18604.72222222,conversions:schedule_website,18,334885,25180,39794,1.580381,3360,979,2.46017,26,2,18,"Clientes potenciales","Con el presupuesto de la campaÃ±a",0,Milotecucuta,120241004340160527,1177096264190146,120243792945960527,120243153023150527,"CP | AGENDAMIENTO","CP | AGENDAMIENTO"
2025-05-20,2026-05-21,"Ad 7 | Reel | Ultimos Lotes",3160.5,actions:onsite_conversion.messaging_conversation_started_7d,20,63210,5038,6719,1.333664,691,164,2.440839,4,20,,"Clientes potenciales",20000,Diario,Milotecucuta,120243294299140527,1177096264190146,120243793621780527,120243294299160527,"CP | WhatsApp | Agenda | SIMILARES %2","CP | WhatsApp | Agendamiento"
2025-05-20,2026-05-21,"Planos edificio",,,,0,0,0,0,,0,0,0,,,InteracciÃ³n,20000,Diario,Milotecucuta,120239015166610527,1177096264190146,120239541736350527,120239541736360527,"Te entregamos los planos_Miravista - PÃºblico por intereses","CampaÃ±a Febrero_Miravista"
2025-05-20,2026-05-21,"Planos casa",,,,0,0,0,0,,0,0,0,,,InteracciÃ³n,20000,Diario,Milotecucuta,120239015166610527,1177096264190146,120239541736380527,120239541736360527,"Te entregamos los planos_Miravista - PÃºblico por intereses","CampaÃ±a Febrero_Miravista"
2025-05-20,2026-05-21,"LOTES_ANIMACIÃN CASAS",,,,0,0,0,0,,0,0,0,,,InteracciÃ³n,20000,Diario,Milotecucuta,120239015166610527,1177096264190146,120239541736390527,120239541736360527,"Te entregamos los planos_Miravista - PÃºblico por intereses","CampaÃ±a Febrero_Miravista"
2025-05-20,2026-05-21,"LOTES DESDE 52MILLONES",,,,0,0,0,0,,0,0,0,,,"Clientes potenciales","Con el presupuesto de la campaÃ±a",0,Milotecucuta,120241004340160527,1177096264190146,120243153023180527,120243153023150527,"CP | AGENDAMIENTO","CP | AGENDAMIENTO"
2025-05-20,2026-05-21,"LOTE PLANO",,,,0,0,0,0,,0,0,0,,,"Clientes potenciales","Con el presupuesto de la campaÃ±a",0,Milotecucuta,120241004340160527,1177096264190146,120243153023190527,120243153023150527,"CP | AGENDAMIENTO","CP | AGENDAMIENTO"
2025-05-20,2026-05-21,"LA SEÃAL QUE ESPERABAS",,,,0,0,0,0,,0,0,0,,,"Clientes potenciales","Con el presupuesto de la campaÃ±a",0,Milotecucuta,120241004340160527,1177096264190146,120243153023200527,120243153023150527,"CP | AGENDAMIENTO","CP | AGENDAMIENTO"
2025-05-20,2026-05-21,"ENTREVISTA PARQUE SANTANDER",,,,0,0,0,0,,0,0,0,,,TrÃ¡fico,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120242047983360527,1177096264190146,120243555343480527,120243555343460527,"RMKTG | IG | Visita al Perfil","TRÃFICO SEGUIDORES IG"
